Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Apulia-Calabrian Greek	NOCODE_Calabrian-Greek	svsoc:Baldissera:Grico-Salento	0	0	37112	0	0	37112
Cambodian Sign Language	NOCODE_Cambodian-Sign	s:Woodward:Cambodian-Sign	0	0	3763	0	0	3763
Central Chong	NOCODE_Central-Chong	s:Kunwadee:Chong	0	0	99238	0	0	99238
Central Chong	NOCODE_Central-Chong	s:Sunee:Kasong:2002	0	0	61510	0	0	61510
Central Chong	NOCODE_Central-Chong	s:Sunee:Kasong	0	0	5672	0	0	5672
Central Chong	NOCODE_Central-Chong	g:Ploykaew:Samre	0	0	77410	0	0	77410
Central Ju	NOCODE_Central-Ju	s:Vedder:Ku	0	0	10468	0	0	10468
Central Ju	NOCODE_Central-Ju	typ:Miller:Clicks	0	0	11187	0	0	11187
Central Mansi	NOCODE_Central-Mansi	s:Honti:Wogulische	0	0	9265	0	0	9265
Central Mansi	NOCODE_Central-Mansi	st:Ahlqvist:Wogulische	0	0	1019	0	0	1019
Central Mansi	NOCODE_Central-Mansi	s:Forsberg:Eastern-Mansi	0	0	51879	0	0	51879
Central Mfumte	NOCODE_Central-Mfumte	s:McLean:Central-Mfumte	0	0	8898	0	0	8898
Chashan	NOCODE_Chashan	ssoc:Dai:Pianma-Chashan	0	0	16063	0	0	16063
Chimwiini	NOCODE_Chimwiini	typ:Henderson:Chimwiini	0	0	7192	0	0	7192
Chimwiini	NOCODE_Chimwiini	s:Abasheikh:Chimwini	0	0	63412	0	0	63412
Cholti	NOCODE_Cholti	s:Sattler:Cholti	0	0	27878	0	0	27878
Cosao	NOCODE_Cosao	g:Bai:Cosao	0	0	23255	0	0	23255
Cuitlatec	NOCODE_Cuitlatec	s:Escalante:Cuitlateco	0	0	12842	0	0	12842
Cypriot Greek	NOCODE_Cypriot-Greek	typ:Vassiliou:Cypriot:MA	0	0	5709	0	0	5709
Cypriot Greek	NOCODE_Cypriot-Greek	s:Newton:Cypriot-Greek	0	0	78418	0	0	78418
Daman-Diu Portuguese	NOCODE_Daman-Diu-Portuguese	s:Dalgado:Indo-Portugues-Norte	0	0	20726	0	0	20726
Daman-Diu Portuguese	NOCODE_Daman-Diu-Portuguese	s:Dalgado:Indo-Portugues-Goa	0	0	9036	0	0	9036
Daman-Diu Portuguese	NOCODE_Daman-Diu-Portuguese	s:Dalgado:Indo-Portugues-Damao	0	0	505	0	0	505
Daman-Diu Portuguese	NOCODE_Daman-Diu-Portuguese	s:Cardoso:Diu	0	0	7478	0	0	7478
Daman-Diu Portuguese	NOCODE_Daman-Diu-Portuguese	g:Cardoso:Diu	0	0	133918	0	0	133918
Daman-Diu Portuguese	NOCODE_Daman-Diu-Portuguese	es:Nogueira:Portuguesas-Goa	0	0	27713	0	0	27713
Daohua	NOCODE_Daohua	g:Acuo:Dao	0	0	15122	0	0	15122
